Title,Rating,Expert Rating,Location,Price Per Night,Distance From City,Facilities,Country
Hilton Garden Inn Dubai Al Muraqabat,4 Star Hotel,8.0,Dubai,"15,000",7 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Air-Conditioned']",Dubai
Majestic City Retreat Hotel,4 Star Hotel,8.0,Dubai,"10,000",4 km from City Center,['Outdoor Pool'],Dubai
Omega Hotel,4 Star Hotel,8.0,Dubai,"10,000",4 km from City Center,"['Free Wi-Fi', 'Free Parking', 'Outdoor Pool', 'Laundry Service']",Dubai
Elite Residences Tower Dubai,2 Star Hotel,8.0,Dubai,"10,000",21 km from City Center,"['Free Parking', 'Free Wi-Fi', 'Fitness Center']",Dubai
Hampton By Hilton Dubai Airport,3 Star Hotel,8.0,Dubai,"10,000",12 km from City Center,"['Free Wi-Fi', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Dubai
Admiral Plaza Hotel Dubai,3 Star Hotel,8.0,Dubai,"10,000",3 km from City Center,['Free Wi-Fi'],Dubai
Al Manar Grand Hotel Apartments Bur Dubai,4 Star Hotel,8.0,Dubai,"5,000",10 km from City Center,['Free Wi-Fi'],Dubai
Fortune Pearl Hotel Dubai,3 Star Hotel,8.0,Dubai,"15,000",6 km from City Center,"['Laundry Service', 'Room Service']",Dubai
Vida Downtown Dubai,4 Star Hotel,8.0,Dubai,"20,000",4 km from City Center,"['Fitness Center', 'Free Wi-Fi']",Dubai
Raffles Hotel Dubai,5 Star Hotel,8.0,Dubai,"10,000",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Tehran Hotel Dubai,1 Star Hotel,8.0,Dubai,"5,000",6 km from City Center,['Free Wi-Fi'],Dubai
Rixos The Palm Hotel Dubai,5 Star Hotel,8.0,Dubai,"20,000",17 km from City Center,['Outdoor Pool'],Dubai
London Crown Hotel Dubai,3 Star Hotel,8.0,Dubai,"5,000",4 km from City Center,"['Free Wi-Fi', 'Restaurant']",Dubai
West Hotel Dubai,1 Star Hotel,8.0,Dubai,"5,000",6 km from City Center,"['Laundry Service', 'Room Service', 'Restaurant']",Dubai
Marco Polo Hotel,4 Star Hotel,8.0,Dubai,"10,000",5 km from City Center,['Fitness Center'],Dubai
Jw Marriott Hotel Dubai,4 Star Hotel,8.0,Dubai,"5,000",7 km from City Center,"['Air-Conditioned', 'Outdoor Pool']",Dubai
Al Karnak Hotel Dubai,1 Star Hotel,8.0,Dubai,"15,000",5 km from City Center,"['Laundry Service', 'Restaurant']",Dubai
Middle East Hotel Dubai,2 Star Hotel,7.8,Dubai,"15,000",7 km from City Center,"['Laundry Service', 'Restaurant', 'Air-Conditioned', 'Room Service']",Dubai
Rove Dubai Marina Hotel,3 Star Hotel,7.8,Dubai,"5,000",23 km from City Center,"['Free Parking', 'Outdoor Pool', 'Air-Conditioned', 'Laundry Service']",Dubai
Gateway Hotel Dubai,3 Star Hotel,7.8,Dubai,"5,000",4 km from City Center,"['Outdoor Pool', 'Air-Conditioned', 'Laundry Service', 'Room Service']",Dubai
Grand Nova Hotel Dubai,2 Star Hotel,7.8,Dubai,"5,000",4 km from City Center,['Restaurant'],Dubai
